135
x y z vx vy vz KE
1.670005 0.544634 1.647097 0.962778 -0.706008 -0.164254 183.338248
1.639993 0.560928 2.745599 -1.229445 1.399019 0.560879 183.338248
1.654349 0.538700 3.841553 0.819039 -1.393582 -0.883009 183.338248
1.666518 0.551487 4.964564 0.550812 0.572653 0.812945 183.338248
1.635021 0.551559 6.067468 0.209133 0.233324 1.416877 183.338248
1.649324 0.559567 7.143403 -0.533410 0.002738 0.335280 183.338248
1.677191 0.530037 8.247955 1.760624 -0.967374 -0.113184 183.338248
1.648544 0.555462 9.333892 -0.482586 -1.251430 -0.802547 183.338248
1.641918 0.543568 10.466677 -0.368550 0.019890 -0.185187 183.338248
1.671162 0.552788 11.564170 0.322642 0.264030 0.245929 183.338248
1.651164 0.528218 12.644095 0.761903 0.286694 -0.903584 183.338248
1.633309 0.561240 13.766411 -2.186781 1.585676 1.375252 183.338248
1.658436 0.539980 14.838961 1.701553 -0.204188 -1.514528 183.338248
1.655491 0.544943 15.949248 1.033407 -0.538688 -0.070970 183.338248
2.753714 0.549038 0.551784 1.549921 -1.415353 0.435400 183.338248
2.745629 0.555774 1.640029 -0.687618 -0.958722 -1.186491 183.338248
2.789639 0.562394 2.730348 2.570863 -0.259715 0.670735 183.338248
2.740541 0.554709 3.853480 -0.109454 0.577632 0.122443 183.338248
2.753960 0.552907 4.971221 0.323303 -0.169340 1.316994 183.338248
2.746412 0.533686 6.041728 -0.495751 -0.748889 0.424278 183.338248
2.769892 0.562811 7.159070 1.195069 -0.829193 -0.309411 183.338248
2.741977 0.545394 8.270828 -0.804825 0.120947 1.474284 183.338248
2.746905 0.534666 9.356855 0.411836 -0.385364 1.679264 183.338248
2.739824 0.561007 10.441240 -0.045138 1.278003 -0.702974 183.338248
2.760415 0.537547 11.553211 1.060697 -0.778945 0.996863 183.338248
2.751810 0.569770 12.636568 0.781639 0.447673 -0.959192 183.338248
2.741094 0.566450 13.739214 -0.943517 1.415006 -1.122860 183.338248
2.737937 0.554529 14.858508 0.247409 0.737560 -0.039403 183.338248
2.749554 0.532376 15.944233 0.443875 -1.442005 -0.227844 183.338248
0.545948 1.649422 0.560568 1.304227 -0.000068 1.534856 183.338248
0.532643 1.644960 1.655689 -1.083747 0.261891 0.151469 183.338248
0.558356 1.634642 2.749392 -0.766967 -0.503933 0.193844 183.338248
0.549801 1.658137 3.856902 0.019594 0.437510 -0.615923 183.338248
0.536967 1.657567 4.960332 -1.289601 0.946795 -1.042738 183.338248
0.563579 1.655231 6.034684 0.910438 -1.385436 -0.852131 183.338248
0.543169 1.634455 7.154659 0.093012 -0.222128 -0.249314 183.338248
0.535754 1.647247 8.246381 -1.255290 0.191422 0.394865 183.338248
0.546074 1.642578 9.376502 -1.306722 -0.072707 0.093923 183.338248
0.561658 1.653427 10.452779 1.154653 1.834619 1.233992 183.338248
0.514712 1.654502 11.558105 -1.614206 1.447074 -0.497536 183.338248
0.550315 1.641102 12.654484 -0.134960 -1.806952 -0.172346 183.338248
0.547309 1.644717 13.732752 0.704296 -0.663205 0.152779 183.338248
0.573949 1.667250 14.847990 1.617166 1.504750 0.522273 183.338248
0.545812 1.628373 15.961638 -0.140593 0.105168 0.096882 183.338248
1.647498 1.685244 0.523216 -0.299492 1.487233 -1.647025 183.338248
1.649861 1.647640 1.653422 0.440179 -0.770939 0.109566 183.338248
1.649214 1.631606 2.779239 1.043455 -0.132709 1.567088 183.338248
1.649436 1.646189 3.859779 -0.449465 1.442997 -0.621804 183.338248
1.646683 1.647152 4.956188 -1.208603 1.258360 0.243270 183.338248
1.637328 1.644346 6.045731 -1.097820 -0.461047 -0.638773 183.338248
1.652119 1.638461 7.154050 -1.229300 0.751517 1.081021 183.338248
1.649096 1.663632 8.237261 0.953491 0.844659 0.626841 183.338248
1.648886 1.653657 9.369007 -0.069455 0.381901 1.206151 183.338248
1.650506 1.649038 10.458129 -0.898217 0.533279 0.263275 183.338248
1.659696 1.652442 11.562790 -0.158522 -1.470173 1.194853 183.338248
1.671577 1.626573 12.683197 -0.651826 -1.705517 0.716999 183.338248
1.645014 1.650937 13.746846 -0.902101 0.408610 -0.565375 183.338248
1.657759 1.664646 14.826202 -0.462967 0.320208 -1.487595 183.338248
1.644096 1.648078 15.947622 0.915836 -0.223333 -1.404629 183.338248
2.764940 1.668578 0.531388 -0.000520 0.794530 -0.103959 183.338248
2.729286 1.658831 1.646101 -1.189991 0.633158 -1.451950 183.338248
2.752332 1.666823 2.751487 -0.699883 0.855886 0.240591 183.338248
2.753418 1.652472 3.847233 -0.232176 -0.617354 0.097142 183.338248
2.756623 1.629725 4.963418 0.646238 -2.157324 1.257655 183.338248
2.755811 1.622409 6.043089 0.586712 -1.882755 -0.344570 183.338248
2.729633 1.670822 7.116918 -1.721254 1.423172 -1.943987 183.338248
2.749165 1.646687 8.248437 -0.518931 -0.169671 -0.561027 183.338248
2.740966 1.626379 9.340729 0.547530 -1.481666 -0.773390 183.338248
2.739830 1.635676 10.469858 -1.116080 0.016996 0.122062 183.338248
2.750380 1.663854 11.547727 -0.274180 1.125379 -0.149992 183.338248
2.758210 1.672431 12.661757 -0.907921 0.775297 0.693993 183.338248
2.761100 1.658223 13.763996 0.663910 -0.745316 -0.405616 183.338248
2.735722 1.645133 14.857535 -0.714803 0.885643 -0.694203 183.338248
2.732625 1.633851 15.935790 -0.954911 -0.996640 -0.457279 183.338248
0.537551 2.754281 0.536101 -0.256537 0.851492 -1.423575 183.338248
0.549226 2.737646 1.654797 -0.980544 -0.470881 -0.639044 183.338248
0.542179 2.756193 2.769537 -0.672986 0.577511 0.637519 183.338248
0.542045 2.762447 3.846666 -0.985455 -0.620884 0.151630 183.338248
0.568275 2.736055 4.976285 0.590479 0.649223 1.023548 183.338248
0.559883 2.746964 6.058663 0.419856 -0.146534 1.213064 183.338248
0.550629 2.788178 7.166951 0.642172 2.953948 1.300964 183.338248
0.555330 2.749383 8.263900 0.080586 -0.102088 0.829239 183.338248
0.561709 2.757191 9.369648 0.567122 0.103876 0.861519 183.338248
0.543922 2.746233 10.437881 -0.257994 -1.590138 -0.215699 183.338248
0.551061 2.756992 11.533551 0.546345 0.293993 -0.954595 183.338248
0.552533 2.747981 12.667486 0.570827 -1.099651 0.479138 183.338248
0.557245 2.768280 13.739501 0.400702 1.012894 -0.307906 183.338248
0.567664 2.738625 14.870545 2.337148 -0.978311 2.342017 183.338248
0.550596 2.740009 15.938804 -0.011439 -0.492188 0.138177 183.338248
1.639962 2.777603 0.557773 -0.745243 1.119594 -0.327928 183.338248
1.646485 2.760867 1.638379 0.347806 1.192631 -1.079746 183.338248
1.667917 2.741208 2.743528 0.809905 -0.843297 -0.732875 183.338248
1.652582 2.764638 3.840873 0.767438 0.511203 0.796565 183.338248
1.636538 2.756802 4.940295 -0.456826 -0.648659 -0.763396 183.338248
1.675432 2.764457 6.043390 1.908385 0.941647 0.353976 183.338248
1.669356 2.764051 7.169986 0.050729 0.647161 1.071969 183.338248
1.648591 2.748480 8.260866 -0.615672 -0.023553 0.649890 183.338248
1.652259 2.734146 9.366414 1.412199 -1.062813 0.704193 183.338248
1.668456 2.781271 10.440291 1.218455 1.377343 -0.204406 183.338248
1.649000 2.757918 11.558539 -1.100604 0.854457 -1.165083 183.338248
1.658077 2.746064 12.621538 0.496361 -0.127180 -0.043514 183.338248
1.637162 2.762914 13.734923 0.524538 0.092049 -0.291326 183.338248
1.667757 2.740495 14.826978 1.161114 -0.249607 -1.320430 183.338248
1.665030 2.747756 15.974445 1.103475 0.281397 1.702663 183.338248
2.739432 2.750227 0.565732 -1.755610 -0.315529 1.040167 183.338248
2.749484 2.760588 1.670637 -0.604736 0.557528 0.859310 183.338248
2.734694 2.761287 2.767312 -0.071796 0.829378 1.085647 183.338248
2.778265 2.736858 3.858661 1.548417 -2.344917 -0.365718 183.338248
2.758916 2.743685 4.950461 1.298345 -0.167448 0.547884 183.338248
2.727306 2.757408 6.043527 -0.291890 0.595115 -1.530909 183.338248
2.754007 2.772187 7.156119 0.216441 1.192864 -0.299156 183.338248
2.746632 2.749473 8.257086 0.344152 1.170337 0.852800 183.338248
2.746405 2.746754 9.327927 -0.534995 -0.388349 -1.065489 183.338248
2.763383 2.727219 10.443347 0.906697 -1.574616 -1.373458 183.338248
2.778208 2.744577 11.549632 1.388905 0.043303 0.351775 183.338248
2.750105 2.754005 12.646329 0.515665 -0.040056 0.337833 183.338248
2.738248 2.766309 13.734154 -1.347086 2.164294 -0.055681 183.338248
2.748636 2.716178 14.849189 -0.630535 -1.986211 0.329707 183.338248
2.742581 2.739982 15.948407 -0.884619 -1.318019 0.065150 183.338248
135
x y z vx vy vz KE
0.567869 0.528107 0.544961 0.543532 -1.207631 -0.539575 183.338248
0.535702 0.544886 1.680204 -0.770140 -0.464668 1.370400 183.338248
0.521162 0.546484 2.748096 -1.168600 -0.123122 0.125614 183.338248
0.525698 0.521149 3.825184 -0.862798 -0.992856 -0.708828 183.338248
0.560798 0.580199 4.931778 0.967277 1.606020 -0.427210 183.338248
0.564797 0.578690 6.037028 0.528740 1.952851 -0.516684 183.338248
0.597636 0.534244 7.125727 2.492212 -0.898246 -1.639505 183.338248
0.567708 0.536767 8.246518 1.024493 -0.924168 -0.335907 183.338248
0.536511 0.562078 9.346888 -0.875870 -0.077012 -0.270122 183.338248
0.581595 0.536980 10.409632 1.166850 -0.431131 -1.278725 183.338248
0.546154 0.520817 11.591524 -0.260027 -0.984624 2.182921 183.338248
0.539968 0.541801 12.611489 -0.391682 -0.112282 -2.169920 183.338248
0.531210 0.519444 13.748464 -0.441638 -0.732364 0.789503 183.338248
0.540756 0.502701 14.826700 -0.976838 -1.558220 0.178658 183.338248
0.535123 0.571439 15.940901 -1.126225 1.056134 -0.620218 183.338248
1.676432 0.533240 0.546186 0.101404 -0.375412 -0.163336 183.338248
1.679633 0.537574 1.645455 0.962778 -0.706008 -0.164254 183.338248
1.627698 0.574919 2.751208 -1.229445 1.399019 0.560879 183.338248
1.662539 0.524764 3.832723 0.819039 -1.393582 -0.883009 183.338248
1.672027 0.557214 4.972694 0.550812 0.572653 0.812945 183.338248
1.637113 0.553893 6.081637 0.209133 0.233324 1.416877 183.338248
1.643990 0.559594 7.146756 -0.533410 0.002738 0.335280 183.338248
1.694798 0.520363 8.246823 1.760624 -0.967374 -0.113184 183.338248
1.643718 0.542948 9.325867 -0.482586 -1.251430 -0.802547 183.338248
1.638232 0.543766 10.464825 -0.368550 0.019890 -0.185187 183.338248
1.674389 0.555428 11.566630 0.322642 0.264030 0.245929 183.338248
1.658783 0.531085 12.635060 0.761903 0.286694 -0.903584 183.338248
1.611441 0.577096 13.780164 -2.186781 1.585676 1.375252 183.338248
1.675452 0.537938 14.823815 1.701553 -0.204188 -1.514528 183.338248
1.665825 0.539556 15.948538 1.033407 -0.538688 -0.070970 183.338248
2.769213 0.534884 0.556138 1.549921 -1.415353 0.435400 183.338248
2.738753 0.546187 1.628164 -0.687618 -0.958722 -1.186491 183.338248
2.815348 0.559797 2.737056 2.570863 -0.259715 0.670735 183.338248
2.739446 0.560485 3.854705 -0.109454 0.577632 0.122443 183.338248
2.757193 0.551214 4.984391 0.323303 -0.169340 1.316994 183.338248
2.741455 0.526197 6.045971 -0.495751 -0.748889 0.424278 183.338248
2.781843 0.554519 7.155976 1.195069 -0.829193 -0.309411 183.338248
2.733929 0.546603 8.285570 -0.804825 0.120947 1.474284 183.338248
2.751023 0.530812 9.373648 0.411836 -0.385364 1.679264 183.338248
2.739373 0.573787 10.434210 -0.045138 1.278003 -0.702974 183.338248
2.771022 0.529758 11.563179 1.060697 -0.778945 0.996863 183.338248
2.759627 0.574247 12.626976 0.781639 0.447673 -0.959192 183.338248
2.731659 0.580600 13.727985 -0.943517 1.415006 -1.122860 183.338248
2.740411 0.561904 14.858114 0.247409 0.737560 -0.039403 183.338248
2.753992 0.517956 15.941955 0.443875 -1.442005 -0.227844 183.338248
0.558990 1.649421 0.575917 1.304227 -0.000068 1.534856 183.338248
0.521805 1.647578 1.657204 -1.083747 0.261891 0.151469 183.338248
0.550686 1.629602 2.751330 -0.766967 -0.503933 0.193844 183.338248
0.549997 1.662512 3.850743 0.019594 0.437510 -0.615923 183.338248
0.524071 1.667035 4.949904 -1.289601 0.946795 -1.042738 183.338248
0.572683 1.641377 6.026162 0.910438 -1.385436 -0.852131 183.338248
0.544099 1.632234 7.152166 0.093012 -0.222128 -0.249314 183.338248
0.523201 1.649162 8.250329 -1.255290 0.191422 0.394865 183.338248
0.533007 1.641851 9.377441 -1.306722 -0.072707 0.093923 183.338248
0.573205 1.671773 10.465119 1.154653 1.834619 1.233992 183.338248
0.498569 1.668973 11.553130 -1.614206 1.447074 -0.497536 183.338248
0.548965 1.623032 12.652761 -0.134960 -1.806952 -0.172346 183.338248
0.554352 1.638085 13.734279 0.704296 -0.663205 0.152779 183.338248
0.590120 1.682297 14.853213 1.617166 1.504750 0.522273 183.338248
0.544406 1.629424 15.962607 -0.140593 0.105168 0.096882 183.338248
1.644503 1.700116 0.506746 -0.299492 1.487233 -1.647025 183.338248
1.654262 1.639931 1.654518 0.440179 -0.770939 0.109566 183.338248
1.659648 1.630279 2.794910 1.043455 -0.132709 1.567088 183.338248
1.644942 1.660619 3.853561 -0.449465 1.442997 -0.621804 183.338248
1.634597 1.659736 4.958620 -1.208603 1.258360 0.243270 183.338248
1.626350 1.639735 6.039344 -1.097820 -0.461047 -0.638773 183.338248
1.639826 1.645976 7.164861 -1.229300 0.751517 1.081021 183.338248
1.658631 1.672079 8.243529 0.953491 0.844659 0.626841 183.338248
1.648192 1.657476 9.381069 -0.069455 0.381901 1.206151 183.338248
1.641523 1.654370 10.460762 -0.898217 0.533279 0.263275 183.338248
1.658111 1.637741 11.574738 -0.158522 -1.470173 1.194853 183.338248
1.665058 1.609518 12.690367 -0.651826 -1.705517 0.716999 183.338248
1.635993 1.655023 13.741192 -0.902101 0.408610 -0.565375 183.338248
1.653129 1.667848 14.811326 -0.462967 0.320208 -1.487595 183.338248
1.653254 1.645845 15.933576 0.915836 -0.223333 -1.404629 183.338248
2.764935 1.676523 0.530349 -0.000520 0.794530 -0.103959 183.338248
2.717386 1.665163 1.631582 -1.189991 0.633158 -1.451950 183.338248
2.745333 1.675382 2.753892 -0.699883 0.855886 0.240591 183.338248
2.751096 1.646299 3.848204 -0.232176 -0.617354 0.097142 183.338248
2.763085 1.608152 4.975994 0.646238 -2.157324 1.257655 183.338248
2.761679 1.603581 6.039644 0.586712 -1.882755 -0.344570 183.338248
2.712421 1.685053 7.097478 -1.721254 1.423172 -1.943987 183.338248
2.743976 1.644990 8.242827 -0.518931 -0.169671 -0.561027 183.338248
2.746441 1.611562 9.332995 0.547530 -1.481666 -0.773390 183.338248
2.728669 1.635846 10.471078 -1.116080 0.016996 0.122062 183.338248
2.747638 1.675107 11.546227 -0.274180 1.125379 -0.149992 183.338248
2.749130 1.680184 12.668697 -0.907921 0.775297 0.693993 183.338248
2.767739 1.650770 13.759940 0.663910 -0.745316 -0.405616 183.338248
2.728574 1.653990 14.850593 -0.714803 0.885643 -0.694203 183.338248
2.723076 1.623885 15.931218 -0.954911 -0.996640 -0.457279 183.338248
0.534985 2.762796 0.521866 -0.256537 0.851492 -1.423575 183.338248
0.539421 2.732937 1.648406 -0.980544 -0.470881 -0.639044 183.338248
0.535449 2.761969 2.775912 -0.672986 0.577511 0.637519 183.338248
0.532191 2.756239 3.848183 -0.985455 -0.620884 0.151630 183.338248
0.574180 2.742547 4.986520 0.590479 0.649223 1.023548 183.338248
0.564082 2.745499 6.070793 0.419856 -0.146534 1.213064 183.338248
0.557051 2.817718 7.179961 0.642172 2.953948 1.300964 183.338248
0.556136 2.748362 8.272192 0.080586 -0.102088 0.829239 183.338248
0.567380 2.758230 9.378263 0.567122 0.103876 0.861519 183.338248
0.541342 2.730331 10.435724 -0.257994 -1.590138 -0.215699 183.338248
0.556525 2.759932 11.524005 0.546345 0.293993 -0.954595 183.338248
0.558241 2.736984 12.672278 0.570827 -1.099651 0.479138 183.338248
0.561252 2.778409 13.736422 0.400702 1.012894 -0.307906 183.338248
0.591035 2.728842 14.893965 2.337148 -0.978311 2.342017 183.338248
0.550482 2.735087 15.940186 -0.011439 -0.492188 0.138177 183.338248
1.632510 2.788799 0.554493 -0.745243 1.119594 -0.327928 183.338248
1.649963 2.772793 1.627582 0.347806 1.192631 -1.079746 183.338248
1.676016 2.732775 2.736199 0.809905 -0.843297 -0.732875 183.338248
1.660256 2.769750 3.848839 0.767438 0.511203 0.796565 183.338248
1.631970 2.750316 4.932661 -0.456826 -0.648659 -0.763396 183.338248
